,abs-pos,adapter-view,bounds,children_id,class,clickable,content-desc,draw,enabled,focusable,focused,id,long-clickable,package,pointer,pressed,rel-bounds,resource-id,scrollable-horizontal,scrollable-vertical,selected,visibility,visible-to-user
0,True,False,"[0, 0, 1440, 2560]","[1, 20]",com.android.internal.policy.PhoneWindow$DecorView,False,[None],True,True,False,False,0,False,,6348425,not_pressed,"[0, 0, 1440, 2560]",,False,False,False,visible,True
1,True,False,"[0, 0, 1440, 2392]","[2, 3]",android.widget.LinearLayout,False,[None],True,True,False,False,1,False,,e3db9fa,not_pressed,"[0, 0, 1440, 2392]",,False,False,False,visible,True
2,True,False,"[0, 0, 1440, 2392]",[4],android.widget.FrameLayout,False,[None],True,True,False,False,3,False,android,141c208,not_pressed,"[0, 0, 1440, 2392]",android:id/content,False,False,False,visible,True
3,True,False,"[0, 0, 1440, 2392]","[5, 7]",android.widget.FrameLayout,False,[None],True,True,False,False,4,False,,c4e3da1,not_pressed,"[0, 0, 1440, 2392]",,False,False,False,visible,True
4,True,False,"[0, 0, 1440, 2392]",[6],android.widget.FrameLayout,False,[None],True,True,False,False,5,False,com.brc.PeriodTrackerDiary,f9d7bc6,not_pressed,"[0, 0, 1440, 2392]",com.brc.PeriodTrackerDiary:id/webViewContainer,False,False,False,visible,True
5,True,False,"[0, 0, 1440, 2392]",,org.apache.cordova.engine.SystemWebView,True,[None],False,True,True,True,6,False,,2e83787,not_pressed,"[0, 0, 1440, 2392]",,True,False,False,visible,True
6,True,False,"[0, 2214, 1440, 2392]","[8, 9]",android.widget.FrameLayout,False,[None],True,True,False,False,7,False,com.brc.PeriodTrackerDiary,734f6b4,not_pressed,"[0, 2214, 1440, 2392]",com.brc.PeriodTrackerDiary:id/ads,False,False,False,gone,False
7,True,False,"[0, 2214, 1440, 2217]",,android.view.View,False,[None],False,True,False,False,8,False,,7f012dd,not_pressed,"[0, 0, 1440, 3]",,False,False,False,visible,False
8,True,False,"[0, 2217, 1440, 2392]","[10, 16, 17, 18, 19]",com.digitalchemy.foundation.android.advertising.c.a,False,[None],True,True,False,False,9,False,,ae58e52,not_pressed,"[0, 3, 1440, 178]",,False,False,False,visible,False
9,True,False,"[1, 2217, 1439, 2392]",[11],com.google.android.gms.ads.AdView,False,[None],True,True,False,False,10,False,,878cfda,not_pressed,"[1, 0, 1439, 175]",,False,False,False,visible,False
10,True,False,"[1, 2217, 1, 2217]",[12],com.google.android.gms.ads.internal.bp,False,[None],True,True,False,False,11,False,,b78c585,not_pressed,"[0, 0, 0, 0]",,False,False,False,visible,False
11,True,False,"[1, 2217, 1, 2217]",[13],in,False,[None],True,True,False,False,12,False,,5c97a97,not_pressed,"[0, 0, 0, 0]",,False,False,False,visible,False
12,True,False,"[1, 2217, 1, 2217]",[14],com.google.android.gms.ads.internal.bp,False,[None],True,True,False,False,13,False,,a86c523,not_pressed,"[0, 0, 0, 0]",,False,False,False,visible,False
13,True,False,"[1, 2217, 1, 2217]",[15],com.google.android.gms.ads.internal.webview.n,False,[None],True,True,False,False,14,False,,784ca20,not_pressed,"[0, 0, 0, 0]",,False,False,False,visible,False
14,True,False,"[1, 2217, 1, 2217]",,com.google.android.gms.ads.internal.webview.o,True,[None],False,True,False,False,15,True,,ddfffd9,not_pressed,"[0, 0, 0, 0]",,True,True,False,visible,False
15,True,False,"[720, 2392, 720, 2392]",,com.digitalchemy.foundation.advertising.mopub.MoPubAdWrapper,False,[None],True,True,False,False,16,False,,32a3d9e,not_pressed,"[720, 175, 720, 175]",,False,False,False,invisible,False
16,True,False,"[720, 2392, 720, 2392]",,com.digitalchemy.foundation.advertising.amazon.AmazonAdWrapper,False,['adLayoutObject'],True,True,False,False,17,False,,df6907f,not_pressed,"[720, 175, 720, 175]",,False,False,False,invisible,False
17,True,False,"[720, 2392, 720, 2392]",,com.digitalchemy.foundation.advertising.mopub.MoPubAdWrapper,False,[None],True,True,False,False,18,False,,33c684c,not_pressed,"[720, 175, 720, 175]",,False,False,False,invisible,False
18,True,False,"[1, 2217, 1439, 2392]",,com.google.android.gms.ads.AdView,False,[None],True,True,False,False,19,False,,f47c095,not_pressed,"[1, 0, 1439, 175]",,False,False,False,invisible,False
19,True,False,"[0, 2392, 1440, 2560]",,android.view.View,False,[None],False,True,False,False,20,False,android,67895aa,not_pressed,"[0, 2392, 1440, 2560]",android:id/navigationBarBackground,False,False,False,visible,True
